iter	Logloss
0	0.6871741503
1	0.681748173
2	0.6756968206
3	0.66956071
4	0.6646026067
5	0.6594900501
6	0.6535165467
7	0.6490575378
8	0.6431919973
9	0.6384661913
10	0.6329092613
11	0.6277180377
12	0.6223003275
13	0.6169349435
14	0.6131596817
15	0.6085998123
16	0.6036871613
17	0.5992127281
18	0.5946241464
19	0.5904948074
20	0.587184549
21	0.5831187216
22	0.5793993326
23	0.5772826827
24	0.5735955043
25	0.5696505924
26	0.5658331541
27	0.5626758701
28	0.5586711149
29	0.5549914421
30	0.5514194798
31	0.5485778182
32	0.5451213639
33	0.541698326
34	0.539108278
35	0.5368647181
36	0.5336236979
37	0.5302084817
38	0.5269943486
39	0.524305852
40	0.5213330742
41	0.518498872
42	0.5163775458
43	0.5134239842
44	0.5114980083
45	0.5086278951
46	0.5065286487
47	0.5047554169
48	0.5023828887
49	0.5004191967
50	0.4987222125
51	0.496908862
52	0.4957922386
53	0.493355617
54	0.4909960442
55	0.4894696939
56	0.4871233893
57	0.4851029135
58	0.4833786318
59	0.4817357829
60	0.4796043501
61	0.4774485912
62	0.475531556
63	0.4737093771
64	0.4716287962
65	0.4697547973
66	0.4679346155
67	0.4660137267
68	0.4640798417
69	0.4623333039
70	0.4606982525
71	0.4590797634
72	0.4572733438
73	0.4561063993
74	0.4546038577
75	0.4528833169
76	0.4513364581
77	0.4498825759
78	0.4485474024
79	0.4475634926
80	0.4459852445
81	0.4446985607
82	0.4434325238
83	0.4422779361
84	0.4415070576
85	0.4401791371
86	0.4387657645
87	0.4375467205
88	0.4362283275
89	0.4351097594
90	0.4339127556
91	0.4326460232
92	0.4317525306
93	0.4307303861
94	0.4293795026
95	0.4284690786
96	0.4272773529
97	0.4266467328
98	0.4257595259
99	0.4248814186
100	0.4237947907
101	0.422707178
102	0.4216977371
103	0.4208153527
104	0.4199244295
105	0.4193882678
106	0.4186316718
107	0.4175972604
108	0.4171639254
109	0.416422872
110	0.4159560202
111	0.4153441474
112	0.4143537482
113	0.4134302923
114	0.4128808865
115	0.4120369183
116	0.4112811907
117	0.4103668246
118	0.4098226
119	0.4090353629
120	0.4083184731
121	0.4080839088
122	0.4072576243
123	0.4064594847
124	0.4057136987
125	0.4049736342
126	0.4042025073
127	0.4035816261
128	0.4034773037
129	0.4027766919
130	0.4019958935
131	0.4013989184
132	0.4006812126
133	0.400457921
134	0.4000271895
135	0.3995059885
136	0.3989265817
137	0.3985660246
138	0.3978578381
139	0.3973267216
140	0.3969955413
141	0.3965689635
142	0.3958518112
143	0.395367038
144	0.3947430731
145	0.3945799351
146	0.3940068866
147	0.3934203089
148	0.3929344888
149	0.3925225678
150	0.3919717613
151	0.391419334
152	0.3910528093
153	0.3905400268
154	0.3901488155
155	0.3899077573
156	0.3896484684
157	0.389181504
158	0.388637743
159	0.3880731187
160	0.3877906499
161	0.3877315651
162	0.3872060917
163	0.386833665
164	0.3863731445
165	0.386007123
166	0.3855708091
167	0.3850461519
168	0.3848713892
169	0.3845637965
170	0.3841827836
171	0.3835961949
172	0.3831957108
173	0.3827659657
174	0.3823110677
175	0.381810804
176	0.3813599249
177	0.380946435
178	0.3805697206
179	0.3802089908
180	0.3798538759
181	0.3795264314
182	0.3793898263
183	0.3790722378
184	0.3786693903
185	0.37843246
186	0.3780009108
187	0.3777722867
188	0.3774978996
189	0.3772604989
190	0.376962523
191	0.3766246619
192	0.3764107195
193	0.3760176788
194	0.3756627896
195	0.37537224
196	0.3751342874
197	0.375101671
198	0.3745817539
199	0.3742840485
200	0.3740517649
201	0.3734445021
202	0.3731836052
203	0.3730712248
204	0.3727814748
205	0.3724677942
206	0.3722502767
207	0.3720181795
208	0.3716610707
209	0.3713067042
210	0.3712569591
211	0.3709565144
212	0.3706952604
213	0.3704519225
214	0.3701441563
215	0.3698803919
216	0.3696104616
217	0.3693037763
218	0.368980811
219	0.3686979675
220	0.3684462383
221	0.3681366444
222	0.3677669254
223	0.3675710702
224	0.3672173794
225	0.367038942
226	0.3665577001
227	0.3662154642
228	0.3658467241
229	0.3656221395
230	0.3652757329
231	0.365189658
232	0.364919594
233	0.3646355595
234	0.3644034562
235	0.3641571118
236	0.3636262638
237	0.3634155001
238	0.3633503626
239	0.3631721002
240	0.3630095058
241	0.3627190847
242	0.3625716121
243	0.3622705067
244	0.3621040544
245	0.361985408
246	0.361742947
247	0.3615726493
248	0.3611966828
249	0.3610320314
250	0.3608161867
251	0.3606471853
252	0.3605530469
253	0.3603469664
254	0.3600928168
255	0.3600490685
256	0.3598760515
257	0.3596931226
258	0.3594205962
259	0.3593974919
260	0.3590601683
