iter	Passed	Remaining
0	408	408354
1	412	205935
2	417	138674
3	421	105054
4	425	84745
5	429	71076
6	433	61504
7	436	54132
8	442	48737
9	448	44414
10	453	40759
11	458	37722
12	462	35133
13	467	32919
14	472	31011
15	476	29328
16	481	27848
17	486	26524
18	490	25339
19	495	24277
20	498	23224
21	503	22363
22	507	21560
23	509	20739
24	515	20093
25	519	19473
26	524	18898
27	527	18318
28	531	17810
29	535	17325
30	539	16870
31	543	16426
32	548	16075
33	553	15712
34	556	15332
35	558	14965
36	564	14700
37	569	14415
38	574	14145
39	579	13898
40	583	13654
41	588	13419
42	592	13193
43	598	12998
44	601	12759
45	616	12789
46	623	12636
47	630	12505
48	638	12388
49	646	12286
50	650	12109
51	655	11945
52	659	11775
53	663	11631
54	668	11487
55	672	11332
56	676	11199
57	681	11073
58	685	10933
59	690	10819
60	695	10707
61	699	10584
62	703	10468
63	707	10354
64	711	10240
65	715	10131
66	720	10036
67	724	9933
68	728	9832
69	732	9737
70	737	9646
71	741	9553
72	745	9464
73	749	9379
74	753	9293
75	757	9209
76	761	9130
77	766	9055
78	771	8993
79	774	8911
80	780	8855
81	785	8791
82	789	8727
83	798	8703
84	801	8623
85	805	8562
86	845	8877
87	855	8861
88	868	8890
89	873	8830
90	879	8783
91	883	8724
92	890	8687
93	896	8638
94	900	8582
95	905	8527
96	910	8473
97	912	8403
98	917	8350
99	922	8302
100	928	8261
101	932	8213
102	937	8166
103	943	8125
104	947	8079
105	950	8018
106	969	8087
107	978	8082
108	981	8022
109	986	7977
110	990	7933
111	996	7900
112	1002	7865
113	1014	7884
114	1019	7842
115	1025	7814
116	1057	7984
117	1062	7941
118	1069	7919
119	1075	7887
120	1081	7856
121	1083	7801
122	1090	7772
123	1098	7763
124	1109	7768
125	1114	7731
126	1119	7695
127	1124	7657
128	1126	7606
129	1133	7582
130	1137	7545
131	1142	7512
132	1147	7477
133	1149	7430
134	1154	7397
135	1159	7366
136	1164	7334
137	1168	7300
138	1174	7274
139	1178	7242
140	1182	7201
141	1186	7169
142	1191	7141
143	1196	7112
144	1221	7201
145	1241	7259
146	1249	7252
147	1259	7252
148	1264	7221
149	1270	7202
150	1275	7173
151	1280	7142
152	1285	7114
153	1289	7086
154	1294	7056
155	1298	7023
156	1301	6986
157	1304	6950
158	1309	6925
159	1313	6897
160	1319	6874
161	1321	6837
162	1327	6815
163	1332	6791
164	1336	6764
165	1341	6738
166	1345	6709
167	1349	6682
168	1353	6653
169	1356	6624
170	1360	6595
171	1364	6569
172	1368	6540
173	1371	6512
174	1375	6484
175	1379	6459
176	1383	6433
177	1387	6406
178	1390	6379
179	1395	6355
180	1398	6328
181	1402	6305
